title_id,review_id,author,rating,summary,text,helpful,created_at
tt0111161,rw6606154,Sleepin_Dragon,10,An incredible movie. One that lives with you.,"It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn&#39;t said before? Not much, it&#39;s the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can&#39;t remember it days later, this film loves with you, once you&#39;ve seen it, you don&#39;t forget.<br/><br/>The ultimate story of friendship, of hope, and of life, and overcoming adversity.<br/><br/>I understand why so many class this as the best film of all time, it isn&#39;t mine, but I get it. If you haven&#39;t seen it, or haven&#39;t seen it for some time, you need to watch it, it&#39;s amazing. 10/10.",546,2021-02-17
tt0111161,rw1221355,EyeDunno,10,Don't Rent Shawshank.,"I&#39;m trying to save you money; this is the last film title that you should consider borrowing. Renting Shawshank will cost you five bucks... just plunk down the $25 and own the title. You&#39;ll wind up going back to this gem time and time again. This is one of few movies that are truly timeless. And it&#39;s entertaining and moving, no matter how many times you view it.<br/><br/>Forget about what others (including myself) might suggest you&#39;ll discover in &quot;The Shawshank Redemption;&quot; when you watch it, you&#39;ll identify something very personal in your own life with a scene, a character, or a moment in this uncomplicated movie. When you need hope, you&#39;ll look for Shawshank. When you want to believe in the will of overcoming even the greatest obstacles, Shawshank will uplift you in ways that you can&#39;t find in movies today. <br/><br/>Some liken the film to some kind of spiritual awakening. Of course, some can go to a church or mosque to find enlightenment and Faith in humanity, but most places of worship are open only certain days or times. But when you need affirmation of the lasting bond of friendships that prevail over the most dire circumstances, Shawshank will give it to you. It makes grown men (like me) cry, still. I wonder whether Shawshank was truly meant for viewing in the privacy of the home, because it is a personal experience that really makes you look inward. Nominated for seven, this is the best film that never one a single Oscar. <br/><br/>How ironic that an innocent man winds up being surrounded by the corruption of the legal system. Shawshank itself is similar to the character of Andy Dufresne. Prejudging this classic film, critics couldn&#39;t get past the title. The public followed suit, initially dismissing Shawshank, which failed in the box office just like &quot;It&#39;s a Wonderful Life&quot; and &quot;Citizen Kane.&quot; It could have just whithered away on the store shelves, like Andy Dufresne could have in his own cell. But the characters prevailed, because Andy -- And Shawshank -- stayed true. Now, these movies are right up there as the most popular films of all time. <br/><br/>Anyone who has yet to watch Shawshank may be so jaded of movies, or the film&#39;s title, or how a 2-1/2- hour movie set inside the walls of a prison can manage to tap the soul of such a wide range of people. Shawshank has not one explosion. I wonder if it even has a single special effect or digitally- enhanced frame. <br/><br/>But every aspect of Shawshank fit together. The acting from the top to the bit part. The musical score. The editing. The photography. The story, from opening credits to final scene. All involved, including the town of Mansfield, Ohio (where Shawshank was actually filmed) played their roles perfectly. Shawshank is a must- see, must- own title.",1196,2005-11-21
tt0111161,rw1288098,kaspen12,10,A classic piece of unforgettable film-making.,"In its Oscar year, Shawshank Redemption (written and directed by Frank Darabont, after the novella Rita Hayworth and the Shawshank Redemption, by Stephen King) was nominated for seven Academy Awards, and walked away with zero. Best Picture went to Forrest Gump, while Shawshank and Pulp Fiction were &quot;just happy to be nominated.&quot; Of course hindsight is 20/20, but while history looks back on Gump as a good film, Pulp and Redemption are remembered as some of the all-time best. Pulp, however, was a success from the word &quot;go,&quot; making a huge splash at Cannes and making its writer-director an American master after only two films. For Andy Dufresne and Co., success didn&#39;t come easy. Fortunately, failure wasn&#39;t a life sentence.<br/><br/>After opening on 33 screens with take of $727,327, the $25M film fell fast from theatres and finished with a mere $28.3M. The reasons for failure are many. Firstly, the title is a clunker. While iconic to fans today, in 1994, people knew not and cared not what a &#39;Shawshank&#39; was. On the DVD, Tim Robbins laughs recounting fans congratulating him on &quot;that &#39;Rickshaw&#39; movie.&quot; Marketing-wise, the film&#39;s a nightmare, as &#39;prison drama&#39; is a tough sell to women, and the story of love between two best friends doesn&#39;t spell winner to men. Worst of all, the movie is slow as molasses. As Desson Thomson writes for the Washington Post, &quot;it wanders down subplots at every opportunity and ignores an abundance of narrative exit points before settling on its finale.&quot; But it is these same weaknesses that make the film so strong.<br/><br/>Firstly, its setting. The opening aerial shots of the prison are a total eye-opener. This is an amazing piece of architecture, strong and Gothic in design. Immediately, the prison becomes a character. It casts its shadow over most of the film, its tall stone walls stretching above every shot. It towers over the men it contains, blotting out all memories of the outside world. Only Andy (Robbins) holds onto hope. It&#39;s in music, it&#39;s in the sandy beaches of Zihuatanejo; &quot;In here&#39;s where you need it most,&quot; he says. &quot;You need it so you don&#39;t forget. Forget that there are places in the world that aren&#39;t made out of stone. That there&#39;s a - there&#39;s a - there&#39;s something inside that&#39;s yours, that they can&#39;t touch.&quot; Red (Morgan Freeman) doesn&#39;t think much of Andy at first, picking &quot;that tall glass o&#39; milk with the silver spoon up his ass&quot; as the first new fish to crack. Andy says not a word, and losing his bet, Red resents him for it. But over time, as the two get to know each other, they quickly become the best of friends. This again, is one of the film&#39;s major strengths. Many movies are about love, many flicks have a side-kick to the hero, but Shawshank is the only one I can think of that looks honestly at the love between two best friends. It seems odd that Hollywood would skip this relationship time and again, when it&#39;s a feeling that weighs so much into everyone&#39;s day to day lives. Perhaps it&#39;s too sentimental to seem conventional, but Shawshank&#39;s core friendship hits all the right notes, and the film is much better for it.<br/><br/>It&#39;s pacing is deliberate as well. As we spend the film watching the same actors, it is easy to forget that the movie&#39;s timeline spans well over 20 years. Such a huge measure of time would pass slowly in reality, and would only be amplified in prison. And it&#39;s not as if the film lacks interest in these moments. It still knows where it&#39;s going, it merely intends on taking its sweet time getting there. It pays off as well, as the tedium of prison life makes the climax that much more exhilarating. For anyone who sees it, it is a moment never to be forgotten.<br/><br/>With themes of faith and hope, there is a definite religious subtext to be found here. Quiet, selfless and carefree, Andy is an obvious Christ figure. Warden Norton (Bob Gunton) is obviously modeled on Richard Nixon, who, in his day, was as close to a personified Satan as they come. But if you aren&#39;t looking for subtexts, the movie speaks to anyone in search of hope. It is a compelling drama, and a very moving film, perfectly written, acted and shot. They just don&#39;t come much better than this.<br/><br/>OVERALL SCORE: 9.8/10 = A+ The Shawshank Redemption served as a message of hope to Hollywood as well. More than any film in memory, it proved there is life after box office. Besting Forrest and Fiction, it ran solely on strong word of mouth and became the hottest rented film of 1995. It currently sits at #2 in the IMDb&#39;s Top 250 Films, occasionally swapping spots with The Godfather as the top ranked film of all time -- redemption indeed. If you haven&#39;t seen it yet, what the hell are you waiting for? As Andy says, &quot;It comes down a simple choice, really. Either get busy living, or get busy dying.&quot;",1428,2006-02-10
tt0111161,rw1822343,alexkolokotronis,10,This is How Movies Should Be Made,"This movie is not your ordinary Hollywood flick. It has a great and deep message. This movie has a foundation and just kept on being built on from their and that foundation is hope.<br/><br/>Other than just the message of this movie the acting was phenomenal. Tim Robbins gave one of the greatest performances ever. He was inspiring, intelligent and most of all positive. His performance just made me smile. Robbins plays Andy Dufresne who was wrongfully convicted of murdering his wife and her lover. He is gets to life sentences but yet never gives up hope. In he becomes friends with Ellis Boyd &quot;Red&quot; Redding played by Morgan Freeman. Freeman who gives the finest performance of his career has unlike Robbins lost hope. He is in deep regret of the crime that he committed. His way of deflecting the pain away is by trying to not feel anything at all. With his friendship with Andy he learns that without our hopes and dreams we have nothing. Andy also becomes friends with the rest of Red&#39;s group. James Whitmore also gave a great performance as Brooks Halten who gets out of prison parole but in the words of Red he has been &quot;institutionalized&quot;. <br/><br/>The directing by Frank Darabont was just magnificent. He kept this movie at a great steady pace along with the writing and great cinematography. He portrayed prison life in such a horrifying way, but not in terms of the physical pain but the stress and pain that wares mentally on the inmates, some of which deserve a second chance. <br/><br/>Whatever you do, don&#39;t listen to the people who say this movie is overrated because this is one of the most inspiring and greatest movies ever. It has everything you could possibly want.",1083,2008-02-18
tt0111161,rw0348718,speedreid,,Prepare to be moved,"I have never seen such an amazing film since I saw The Shawshank Redemption. Shawshank encompasses friendships, hardships, hopes, and dreams.  And what is so great about the movie is that it moves you, it gives you hope.  Even though the circumstances between the characters and the viewers are quite different, you don&#39;t feel that far removed from what the characters are going through.<br/><br/>It is a simple film, yet it has an everlasting message.  Frank Darabont didn&#39;t need to put any kind of outlandish special effects to get us to love this film, the narration and the acting does that for him.  Why this movie didn&#39;t win all seven Oscars is beyond me, but don&#39;t let that sway you to not see this film, let its ranking on the IMDb&#39;s top 250 list sway you, let your friends recommendation about the movie sway you.<br/><br/>Set aside a little over two hours tonight and rent this movie.  You will finally understand what everyone is talking about and you will understand why this is my all time favorite movie.",1712,2001-02-08
tt0111161,rw0349147,weswalker,10,Shawshank Redeems Hollywood,"Can Hollywood, usually creating things for entertainment purposes only, create art?  To create something of this nature, a director must approach it in a most meticulous manner, due to the delicacy of the process.  Such a daunting task requires an extremely capable artist with an undeniable managerial capacity and an acutely developed awareness of each element of art in their films, the most prominent; music, visuals, script, and acting. These elements, each equally important, must succeed independently, yet still form a harmonious union, because this mixture determines the fate of the artist&#39;s opus.  Though already well known amongst his colleagues for his notable skills at writing and directing, Frank Darabont emerges with his feature film directorial debut, The Shawshank Redemption.  Proving himself already a master of the craft, Darabont managed to create one of the most recognizable independent releases in the history of Hollywood.  The Shawshank Redemption defines a genre, defies the odds, compels the emotions, and brings an era of artistically influential films back to Hollywood.<br/><br/>The story begins with the trial of a young banker, Andy Dufrense, victimized by circumstantial evidence, resulting in a conviction for the murder of his wife and her lover.  After a quick conviction, Andy finds himself serving a life sentence at Shawshank prison, with no hope of parole.  He exists in this prison only in appearance, keeping his mind free from the drab walls around him.  His ability to do this results in the gaining of respect from his fellow inmates, but most of all from Ellis Redding.  Ellis, commonly referred to as Red, finds gainful use of his entrepreneurial spirit within the drab walls of Shawshank by dealing in contraband and commodities rare to the confines of prison.  Andy&#39;s demeanor and undeniable sense of hope causes Red to take a deeper look at himself, and the world around him.  Andy proves to Red and the other inmates that in the conventional walls of Shawshank prison convention will find no home in his lifestyle.<br/><br/>By creating the film&#39;s firm foundation, the meticulously chiseled screenplay paved the way for this film&#39;s success.  Frank Darabont outdoes himself with the phenomenal adaptation of Stephen King&#39;s equally noteworthy novella, Rita Hayworth and Shawshank Redemption.  In this novella, King demonstrates that he can break free from the genre he dominates and still create a marvelous piece of modern literature.  Though the film mirrors the novella in many ways, Darabont illustrates a focused objective of improving upon the areas where the novella came up short, resulting in one of the best book to film transitions ever.<br/><br/>While maintaining some of the poetic and moving dialogue of the novella, Darabont also proves that a film&#39;s score can generate a great deal of emotional response from its audience, as dialogue does.  He employs the cunning Thomas Newman, son of the legendary Hollywood composer, Alfred Newman.  Darabont shows recognition for the film&#39;s needs by employing Newman, who makes the gentle piano chords whisper softly to the viewer, as if a part of the scripted dialogue.  Newman lends himself to individualism and tends to drive more towards the unique in the realm of score composition.  His effort in Shawshank did not go unnoticed, as his score received an Oscar nomination in 1995.  While unique and independent, Newman&#39;s score never once intrudes on your concentration or distracts from the film.<br/><br/>With work from vast array of talented scene designers, costume designers, composers, cinematographers, and various other Hollywood artists, the cast of The Shawshank Redemption had a strong foundation to work with.  The marvelous cast of this film will dazzle you with some of the most convincing performances you will witness in a film.  While both Tim Robbins and Morgan Freeman shine as Andy and Red, respectively, the true spectacle of acting lies within the plethora of amazing supporting actors who easily disappear into their roles.  Most noticeable of these, the veteran film star James Whitmore, who portrays the elderly Brooks Hatlen.  Brooks, a man incarcerated for an unmentioned crime for so long that he finds himself attached to the Shawshank and the daily life he has lead.  Each of these actors show a true dedication to their art, and a focused purpose in their motivations, creating a convincing setting that never once caters to anything unbelievable.<br/><br/>With all of the aesthetic touches and attention to cinematic detail, the most beautiful part of the film lies within its thematic material, such as its focus on the human desires for the most abstract concepts, like hope and freedom.  These themes, which concern things the human spirit undoubtedly yearns for, seem so intricately woven into the plot that it easily draws its audience in to its story.  Though full of hardened criminals, your heart will go out to these men as they display the most basic of human emotions, and deliver some of the most quotable lines in a film to date.  Like a great novel, this film manages to succeed at greater things than simply entertaining an audience.  Darabont tells his story most masterfully, illustrating principles and inspiring his audience to think.  He leaves us a poignant film with a powerful message of hope, and redemption, something we all seek.<br/><br/>This film manages to redeem Hollywood in the eyes of people who feared it long lost in a dark sea of clichés and predictability.  Darabont shows us that artists still work in the Hollywood studios and production facilities. These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you.  The Shawshank Redemption delivers much-needed breath of fresh air for anyone who realizes the capability of film.  It proves that masters of the craft still live on this earth, and still bless us with timeless masterpieces that we will never forget.",1827,2002-08-27
tt0111161,rw4203332,nowego,10,Eternal Hope,"I&#39;ve lost count of the number of times I have seen this movie, but it is more than 20. It has to be one of the best movies ever made. It made me take notice Morgan Freeman and Tim Robbins like I had never noticed any actors before.<br/><br/>I have from a very young age been a huge fan of anything Stephen King writes and had already read the short story that this movie is based on years prior to seeing this movie.<br/><br/>Not everything Stephen King has written that gets turned into a movie comes out well, but this is as close to perfection as it gets and has everything you could ever want in a movie.<br/><br/>Something that is outstanding is the fact that it has no real action, no special effects and no gimmicks. 99% of the movie is just men in a prison uniforms talking. Yet it absolutely hooks you almost from the beginning and has you glued to the screen to the end.<br/><br/>For me what really makes this film one of the best is the message of eternal hope it conveys throughout. The never ever give up hope attitude of the main character so well conveyed by Tim Robbins. The ending is just spine tingling every time I see it, no matter how many times I have seen it.<br/><br/>Brilliant, brilliant movie and a must see for everyone.",256,2018-06-15
tt0111161,rw3118520,gavin6942,10,IMDb and the Greatest Film of All Time,"Two imprisoned men (Tim Robbins and Morgan Freeman) bond over a number of years, finding solace and eventual redemption through acts of common decency.<br/><br/>Is this the greatest film of all time? IMDb would have you believe so. Despite being a box office flop (that barely recouped its budget), the film received multiple award nominations and outstanding reviews from critics for its acting, story, and realism. It has since been successful on cable television, VHS, DVD, and Blu-ray.<br/><br/>And it deserves this praise that seems to be growing each year. Now twenty years old, the film has not aged a day, and instead seems to be getting better. This is Tim Robbins&#39; best role, and a fine performance from the always wonderful Morgan Freeman.",143,2014-11-06
tt0111161,rw6158379,auuwws,10,the shawshank redemption,The best movie in history and the best ending in any entertainment business,201,2020-10-08
tt0111161,rw0348222,Coxer99,10,The Shawshank Redemption,"One of the finest films made in recent years. It&#39;s a poignant story about hope. Hope gets me. That&#39;s what makes a film like this more than a movie. It tells a lesson about life. Those are the films people talk about 50 or even 100 years from you. It&#39;s also a story for freedom. Freedom from isolation, from rule, from bigotry and hate. Freeman and Robbins are majestic in their performances. Each learns from the other. Their relationship is strong and you feel that from the first moment they make contact with one another. There is also a wonderful performance from legend James Whitmore as Brooks.<br/><br/>He shines when it is his time to go back into the world, only to find that the world grew up so fast he never even got a chance to blink. Stephen King&#39;s story is brought to the screen with great elegance and excitement. It is an extraordinary motion that people &quot;will&quot; be talking about in 50 or 100 years.",949,1999-03-25
